SENHA, CPF/CNPJ, DATA GERAÇÃO, SE FOI CHAMADA: 0- NÃO 1- SIM
────────────────────────────────────────────────────────────
NC01, null, 09/09/2024 22:14:32 , 0
NC02, null, 09/09/2024 22:14:44 , 0
NC03, null, 09/09/2024 22:15:00 , 0
CL04, 11100011, 09/09/2024 22:15:36 , 0
PR05, null, 09/09/2024 22:15:42 , 0
NC06, null, 09/09/2024 22:16:11 , 0
CL07, 11122233344, 09/09/2024 22:16:24 , 0
NC08, null, 10/09/2024 00:55:59 , 0
NC09, null, 10/09/2024 00:56:21 , 0
NC10, null, 10/09/2024 00:56:39 , 0
NC11, null, 10/09/2024 00:58:39 , 0
NC12, null, 10/09/2024 00:58:50 , 0
NC13, null, 10/09/2024 01:00:33 , 0
NC14, null, 10/09/2024 01:00:42 , 0
NC15, null, 10/09/2024 01:01:46 , 0
NC16, null, 10/09/2024 01:03:06 , 0
NC17, null, 10/09/2024 01:22:57 , 0
NC18, null, 10/09/2024 01:25:10 , 0
CL19, 12805210662, 10/09/2024 01:25:21 , 0
NC20, null, 10/09/2024 01:26:09 , 0
NC21, null, 10/09/2024 01:27:05 , 0
NC22, null, 10/09/2024 01:30:45 , 0
NC23, null, 10/09/2024 01:31:16 , 0
NC24, null, 10/09/2024 01:32:56 , 0
NC25, null, 10/09/2024 01:33:18 , 0
PR26, null, 10/09/2024 01:33:25 , 0
NC27, null, 10/09/2024 01:35:05 , 0
NC28, null, 10/09/2024 01:35:40 , 0
CL29, 12805210662, 10/09/2024 01:36:01 , 0
NC30, null, 10/09/2024 01:36:45 , 0
NC31, null, 10/09/2024 01:39:54 , 0
